FIPS,pop2020M,pop2020F,pct_pov_2018,med_age_2000,med_age_2010,med_age,MFratio,smoking,obese,foodenv,physicallyinactive,exdrinking,uninsured,PCPrate,mammography,college,unemployed,avgdailyPM2.5,County,Cancer,Deaths_2018_2022,Population_2018_2022,Deaths,pop,death_rate,suppressed,death_rate_age_adj_2000,label_G_O,label_G_O_imp,label_G_O_age_adj_2000,label_G_O_Rook,death_rate_Rook,State
1001,27052,28587,11.4,35.1,36.2,38.6,0.946304264,19,36,7.1,31,17,9,45,62.7,61.9,5.3,10.8,"Autauga County, AL",Breast,26,286469,26,28587,18.1900864,FALSE,16.38602184,Not significant,Not significant,Not significant,Not significant,NA, AL
1001,27052,28587,11.4,35.1,36.2,38.6,0.946304264,19,36,7.1,31,17,9,45,62.7,61.9,5.3,10.8,"Autauga County, AL",Colorectal,56,286469,56,55639,20.12976509,FALSE,17.80172004,Not significant,Not significant,Not significant,Not significant,NA, AL
1001,27052,28587,11.4,35.1,36.2,38.6,0.946304264,19,36,7.1,31,17,9,45,62.7,61.9,5.3,10.8,"Autauga County, AL",Lung,161,286469,161,55639,57.87307464,FALSE,50.28763756,Not significant,Not significant,Not significant,Not significant,NA, AL
1001,27052,28587,11.4,35.1,36.2,38.6,0.946304264,19,36,7.1,31,17,9,45,62.7,61.9,5.3,10.8,"Autauga County, AL",Prostate,18,286469,18,27052,13.30770368,FALSE,11.53739873,Not significant,Not significant,Not significant,Not significant,NA, AL
1003,105889,112400,10.2,39,41,43.2,0.942072954,17,29,7.9,25,17,12,73,66,63.8,5.4,9.6,"Baldwin County, AL",Breast,170,1156272,170,112400,30.24911032,FALSE,26.6857324,Not significant,Not significant,Not significant,Not significant,NA, AL
1003,105889,112400,10.2,39,41,43.2,0.942072954,17,29,7.9,25,17,12,73,66,63.8,5.4,9.6,"Baldwin County, AL",Colorectal,200,1156272,200,218289,18.32433151,FALSE,15.81160848,Not significant,Not significant,Not significant,Not significant,NA, AL
1003,105889,112400,10.2,39,41,43.2,0.942072954,17,29,7.9,25,17,12,73,66,63.8,5.4,9.6,"Baldwin County, AL",Lung,671,1156272,671,218289,61.4781322,FALSE,51.94003976,Not significant,Not significant,Not significant,Not significant,NA, AL
1003,105889,112400,10.2,39,41,43.2,0.942072954,17,29,7.9,25,17,12,73,66,63.8,5.4,9.6,"Baldwin County, AL",Prostate,118,1156272,118,105889,22.28748973,FALSE,18.77875916,Not significant,Not significant,Not significant,Not significant,NA, AL
1005,13156,11870,24.2,35.8,38,40.1,1.108340354,22,44,5.5,31,13,13,42,63,39.7,8.6,10.1,"Barbour County, AL",Breast,14,123826,14,11870,23.58887953,FALSE,20.74807447,Not significant,Not significant,Not significant,Not significant,NA, AL
1005,13156,11870,24.2,35.8,38,40.1,1.108340354,22,44,5.5,31,13,13,42,63,39.7,8.6,10.1,"Barbour County, AL",Colorectal,31,123826,31,25026,24.7742348,FALSE,21.30213397,Hot spot p<0.05,Hot spot p<0.05,Not significant,Hot spot p<0.05,NA, AL
1005,13156,11870,24.2,35.8,38,40.1,1.108340354,22,44,5.5,31,13,13,42,63,39.7,8.6,10.1,"Barbour County, AL",Lung,105,123826,105,25026,83.91273076,FALSE,70.60999371,Not significant,Not significant,Not significant,Not significant,NA, AL
